Reviews,food,Safety and Hygiene,location,value for money,hospitality
Uncomfortable pillows. Room full of smell and nobody came with room freshener after repeated reminders. Rooms had a very bad smell and after repeated reminders no one came with air freshener. They never picked up their phones in one go. Pillows were uncomfortable. Overall not worth the money.,1,0,1,0,0
Service was poor. Never expected that much of poor service in a 5*. 3 or 4 star hotel would provide you a better service. Food was not too good. This property is not near to a beach. And rooms were just OK. Gym is too small. Staff don't even feel to answer you,0,1,0,1,0
Safety at dining area could have been better,1,0,1,1,1
The hotel had a good variety in food and had taken adequate measures of cleanliness and hygiene at the rooms during our stay,1,2,1,2,1
Room & location was good but room service was a very poor. We stay in resort for 4 days but our rooms cleaning was done only one day. We are request to and hospitality contact But they are ignore it.,1,2,2,1,0
Hotel offers much less than what's depicted on the site. The photos make the property look excellent which actually is not. Quality of food and service is very poor and nobody senior was available or chose not to come forward to resolve the issue. The breakfast menu was identical on all 3 days except for minor changes like Sabzi was changed with the Puri or variety of pakora was different and items falling short were taking a lot of time for a replacement. Did not see a single senior person in the dining area at rush hour at breakfast time or come across any Manager level in 3 days stay. Although one of the rooms was upgraded on the second day of stay. Front office not friendly. The pool was very dirty and brought this to notice of lifeguards. Overall an extremely poor experience. Big mistake for staying here for the amount spent.,0,0,0,0,0
It is a mere 3-star hotel. No room space at all. You could get much better options in this price.,1,0,1,0,1
"I feel rooms were without proper electric plugs and no room bell working, breakfast was average and in room dining was horrible",1,0,1,0,1
Overall it is a good hotel. I am not sure if It's worth the money paid a night though.,1,1,1,0,0
The food is too good and also the room service. The best part is the location is walking distance from baga beach and market.,2,1,2,1,2
Neat n clean room. Helpful staff. Walkable distance from baga beach. Property is near to titos lane.,1,2,2,1,2
Complimentary water not provided. Rooms are not hygienic and not clean. Staff is not supported and It's a bad experience to us. Never ever book in this hotel and i request andhra people not to book in this hotel.,1,0,1,1,0
Only advantage is location. Near to beach Staff is inexperienced. You have to fight for small small things. 20 yr boy manages entire hotel. Hotel is completely different from photos . Do not include meal or breakfast in booking. You have to eat outside anyway. Power cut after every 2-3 hr,0,1,2,0,0
Stay was okok. Property is near to beach. 1-2 night stay is much enough. Food was good,1,1,2,1,1
Property is located in a good and easily accessible location. Rooms were comfortable and spacious. Cleanliness was impressive and caretaker was cooperative. Food was good in taste. Facilities need improvement. It is a recommendable property.,1,2,2,1,2
"Location of hotel is quite good, average in cleanliness. No mountain hill view.",1,1,1,1,1
We stayed for couple of days with family and friends. We liked the location and the neatness,1,2,2,1,1
"We had a wonderful stay, thanks to the very helpful host, a young couple. They arranged for our rent bikes, guided us about the near areas, watersports, casino and other activities we could indulge in. They have a good restaurant below. The hotel is not at a walking distance from the hotel, but not far on a bike. It's near the baga beach. you will get ATMs and petrol pump near too. Overall a had fun.",1,1,2,1,2
We stayed for almost 3 days in this hotel. Be aware that they don't provide room service and if you even make a small dot of stain over the bed sheets they will cost you the price of a new sheet. The rest of the stay was pleasant and friendly reception and cafe.,1,1,1,0,0
"very best hotel at cheap rate good management good infrastructure very supportive and helpful staff rocky bhai, manoj bhai, bineet bhai are too helpful",1,1,1,2,2
"The property was very clean and hygienic and all basic items like food, wifi, room and all water and all are good and more then that the property is near to Calangute beach",1,2,2,1,1
I reached the hotel at 1am and got the entry at 4 pm there was no light and current. Staff was abusive they even fought with me.,1,1,1,1,0
"The staff was not helpful and the room was full of mosquitoes (hidden inside curtains, bed, almirah)bed and the bed sheets were untidy too. The room was untidy. The staff was not friendly to converse. Bad service. Bad quality of towels given. The room was full of mosquitoes and no mosquito repellant was given by the staff. Ac wasn't in working condition. The room was different from the images.",1,0,1,0,0
Room was not sanitized at all. Staff didn't wore masks and not maintained social distancing.,1,0,1,1,0
"very best hotel at cheap rate good management good infrastructure very supportive and helpful staff rocky bhai, manoj bhai, bineet bhai are too helpful",1,1,1,2,2
"Worst experience that's it don't suggest this please this is my request to make my trip team please look in to this. Thanking you. No wifi, no maintenance, ac not working, no hot water facilities, no fridge, tv not working",1,0,1,0,0
"Stay very close by to seashore clean beds and chance to enjoy sea breeze while staying in the room, accessible to car parking area and very close to the road as well",1,2,2,1,1
I Am familiar with the location of the property. The staffs were very cooperative and helpful. The surroundings were a little noisy. The property is not recommended for others.,1,0,0,1,1
The location of the property was very good. Caretaker was also helpful and polite. I will recommend the property to friends group. Food was good. And the rooms were comfortable. The property was neat and clean.,1,2,2,1,2
